video_id,suggestions,response
QDppmIicknY_000030.mp4,[],"In this audio, a person is talking on a cellphone while walking on the sidewalk and appears to be interacting with another person nearby. The audio also includes various ambient sounds, such as cars and trucks passing by, the sound of a fire hydrant, and some people talking in the background. It seems to be a busy street or urban area where multiple people are engaging in different activities. The person on the phone is likely discussing their day, making plans, or providing directions to someone on the other end."
apZT-WEJ--A_000175.mp4,[],"In the audio, a person is opening a glass bottle and pouring a liquid, likely salad dressing, into a bowl. There are also sounds of someone eating a salad, as indicated by the presence of a fork and a cup of salad being consumed. Additionally, a car can be heard in the background, suggesting the person might be outside or close to a car."
7rzEesL55fM_000340.mp4,['orchestra'],"In the audio, there is a man playing the guitar and singing along with it. The guitarist's voice can be heard clearly, while a string orchestra provides accompanying music in the background. The man on the guitar is playing chords and singing a melody, and the string orchestra provides an elegant and harmonious musical texture to the composition. The performance showcases the guitarist's skills, and the combination of his vocals and the string orchestra creates a captivating and uplifting atmosphere."
BLXwpGCn2KQ_000030.mp4,[],"In the audio, there is a classical ballet performance happening on stage with a group of dancers performing various movements. One dancer is jumping with one leg out in front of another dancer, while other dancers are also engaged in dance moves. This indicates that the performance is lively and energetic, featuring a mix of dynamic and synchronized dance movements, as the group of dancers showcase their skills on stage."
xElEg-6DBtM_000018.mp4,[],"In the audio, a woman is being interviewed outdoors on a rainy day. She is talking about a situation or discussing a topic, and it appears she is standing under an umbrella to protect herself from the rain. The audio includes sound of raindrops and water dripping from various surfaces. Additionally, there are multiple cars driving in the background, suggesting that the location is a street or an area with traffic. The woman's voice is the main focus of the audio, along with the occasional sound of rain and vehicles, providing context for the rainy day and outdoor setting."
XOI5jgUu3fA_000442.mp4,[],"In the audio, a person is holding a smartphone, tapping and swiping on the screen to navigate through different screens and options. They are also adjusting the settings and possibly typing in information while using a keyboard. The smartphone is also being used in conjunction with a laser pointer, creating a combined visual and auditory experience. The person might be presenting or demonstrating their smartphone or sharing information with others."
hsmrvZEc_uw_000150.mp4,['dog barking'],"In this audio, a person is singing a song and accompanying themselves with a guitar. They use their voice and fingers to create the melody, which can be described as jazzy. Along with the singing, there are several sounds such as cars passing in the background and a dog barking. This combination of sounds gives the impression of an urban environment where people and animals coexist."
si_IAMPOXlQ_000170.mp4,[],"In the audio, there is a mix of sounds and actions happening. A person can be heard making a fart noise, which is an unpleasant and loud sound. There is also an announcement with the word ""dialup"" being played, possibly referring to an outdated internet connection method. Lastly, the person making the sound is holding a cell phone up and appears to be recording a short video or making a call."
2rK6HBRC8HQ_000040.mp4,['orchestra'],"In the audio, a symphony orchestra is playing, and two men are performing a dance routine together on stage. The dancers appear to be dressed in formal clothes, and they are using their hands to signal. The orchestra plays a lively tune, while the dancers showcase their moves to match the rhythm. The combined elements of music and dance make for an engaging performance."
qJ2cY646opA_000000.mp4,[],"In the audio, a woman is brushing her teeth while talking on a phone. There is a toothbrush being used in her mouth, with sound effects of the brushing and the woman's voice heard clearly, indicating she is actively engaged in both activities. The woman is multitasking by managing her daily hygiene routine and conversing with someone on the phone."
